Frame ID,X,Y,Z
0,0.0206932,-0.0197232,-0.0471776
1,0.141203,0.00270228,0.0304558
2,-0.0856589,0.105618,-0.00161711
3,-0.0388786,0.0174796,0.0665429
4,-0.151417,0.0107567,-0.0268231
5,0.122542,-0.107894,-0.0345792
6,-0.00936587,0.133915,-0.0416945
7,-0.148465,0.223039,-0.188558
8,0.000161406,0.154662,-0.123041
9,0.178816,-0.0424432,-0.0754254
10,-0.0867362,-0.0490242,-0.0133199
11,0.073714,-0.262347,-0.147339
12,-0.00350478,-0.241459,0.146806
13,0.182958,0.00693401,-0.137378
14,-0.0120907,0.0262045,-0.159267
15,-0.0962878,-0.289322,-0.0275115
16,0.235167,-0.23183,-0.174832
17,-0.0672521,0.234037,0.368342
18,0.370214,-0.299766,-0.127147
19,-0.0950763,0.266371,0.397597
20,-0.332479,0.0930069,0.1272
21,0.268068,-0.434522,-0.111944
22,0.108536,-0.0553262,0.279733
23,0.0869343,-0.261509,0.495476
24,0.556764,0.104281,0.0396117
25,0.423901,-0.318498,-0.0131431
26,0.0483375,-0.213955,-0.27435
27,0.0436868,0.312605,0.546543
28,-0.280457,-0.0566053,0.228618
29,0.159588,-0.214572,0.334581
30,-0.286304,0.120925,0.479278
31,0.0857603,-0.058662,0.499794
32,0.20242,-0.0106336,-0.205383
33,0.162473,-0.0749075,-0.160547
34,-0.0740002,0.169928,0.383219
35,-0.230647,0.238572,0.412588
36,0.346995,-0.452807,0.526371
37,0.0147743,-0.0653016,-0.169744
38,-0.383072,0.105298,0.346812
39,0.112855,-0.270918,-0.204331
40,0.0756383,-0.297679,0.266997
41,-0.267625,0.112252,0.254693
42,-0.0429406,0.190576,0.306747
43,-0.202478,0.17322,0.37949
44,0.183923,-0.0671472,0.45567
45,-0.0989365,0.369369,0.37396
46,0.413152,-0.425865,0.346981
47,0.169559,-0.157352,0.38018
48,-0.129944,0.427336,0.452978
49,0.0246683,0.278188,0.212287
50,-0.277945,0.472564,0.295402
51,-0.271826,0.200863,0.143382
52,-0.365769,0.523052,-0.0777062
53,0.146124,-0.52536,-0.0690798
54,0.22226,-0.397711,0.126125
55,0.294116,-0.622766,-0.0347349
56,-0.101802,0.365214,0.286723
57,-0.442963,0.61294,-0.0646304
58,0.00884473,-0.334884,-0.253217
59,0.21353,0.0710874,0.472694
60,-0.175433,-0.0115669,0.189197
61,-0.0244794,0.324582,0.138941
62,-0.229917,0.578474,-0.106831
63,-0.329945,0.114787,0.0643949
64,-0.114684,0.658547,0.0271475
65,0.18477,-0.310317,0.0852177
66,0.0574703,0.0450136,0.487837
67,-0.201243,0.643943,0.0693478
68,-0.480074,0.300007,0.133584
69,0.00284541,0.119649,0.574723
70,0.131586,-0.389756,0.0501687
71,0.17726,-0.53164,0.231772
72,0.0428807,0.315042,0.521856
73,-0.189212,0.528675,0.236833
74,0.232265,-0.303769,-0.0219341
75,0.313315,-0.138405,0.243296
76,0.326204,-0.456406,0.0674296
77,-0.0444682,0.346587,0.393299
78,-0.0136957,0.562628,0.18835
79,-0.00927912,0.238375,0.213934
80,-0.00442329,0.764745,0.260538
81,-0.111848,0.162772,0.341936
82,0.0363493,0.267149,0.163388
83,0.0286707,0.502918,0.534454
84,-0.0976981,0.10523,0.32255
85,0.130743,0.425549,0.625179
86,0.00353107,0.395686,0.250027
87,0.49134,-0.223109,-0.0221172
88,-0.0650148,0.625945,0.450639
89,0.506128,-0.363094,0.135272
90,0.470488,-0.22824,0.202449
91,0.32282,-0.469614,0.209137
92,0.103225,0.608502,0.178255
93,0.486888,-0.231335,0.0797561
94,0.131365,0.484096,0.0414423
95,0.0368794,0.391127,0.679603
96,-0.0067348,0.369588,0.691005
97,0.578436,-0.238179,0.219592
98,0.0654002,0.455649,0.620609
99,0.545097,-0.519833,0.187184
100,-0.126948,0.660722,0.273625
101,0.294709,0.831759,0.0378875
102,-0.0450856,0.55579,0.161719
103,0.202586,0.398203,0.426453
104,-0.0666516,0.485212,0.254324
105,0.610387,-0.385835,0.364488
106,0.284901,0.87908,0.115365
107,-0.0696845,0.0125225,0.690828
108,-0.0238427,0.569015,0.306016
