Frame ID,X,Y,Z
0,0.0171452,-0.0493318,-0.0179268
1,0.128753,-0.115457,0.0520892
2,-0.117511,0.031276,-0.128858
3,-0.0656101,-0.0624371,-0.0585914
4,0.144937,-0.0546704,0.0552863
5,0.0614099,0.0623927,0.1724
6,-0.0820584,0.0711962,-0.108858
7,-0.00419366,0.130366,-0.00567733
8,0.110496,-0.0798516,-0.104733
9,0.115491,-0.121405,0.144098
10,0.0805893,-0.0173298,0.0148653
11,0.0829995,0.00949913,-0.252469
12,0.0551182,0.0953332,0.0526334
13,-0.142979,0.159307,-0.163494
14,-0.247633,-0.243792,-0.369096
15,-0.105872,0.131127,-0.086757
16,0.104672,0.0849426,0.144431
17,-0.0853857,0.136841,0.00646502
18,0.341217,-0.284012,-0.0518132
19,-0.12416,0.248431,0.0177659
20,-0.126752,-0.102866,-0.0955288
21,-0.123804,-0.200103,-0.00350365
22,-0.00717528,0.129734,-0.127899
23,-0.222132,0.38739,0.000147138
24,0.30054,-0.154764,0.376169
25,-0.0552871,0.0199827,0.0253886
26,-0.0218305,-0.315228,0.298947
27,0.468995,-0.448833,-0.0965817
28,0.143126,-0.18455,0.289977
29,0.0325539,-0.293526,0.238011
30,0.250117,-0.0331413,0.325134
31,0.450703,-0.506244,0.0516041
32,0.497398,-0.343056,-0.0907777
33,-0.0072115,0.13548,0.0694573
34,0.0145866,-0.0799443,0.0393862
35,-0.0341054,0.0379347,-0.0587843
36,0.363542,-0.34635,-0.192328
37,-0.0425727,-0.0853137,0.194281
38,-0.011929,-0.132593,0.0294923
39,0.0190465,-0.308676,0.0976691
40,0.503814,-0.523159,0.2737
41,0.430239,-0.534971,0.0569542
42,0.269209,-0.440161,-0.0920788
43,-0.0331095,0.0145706,-0.0509368
44,0.110111,-0.165576,0.0412922
45,0.20832,-0.172146,-0.0500234
46,0.285536,0.0691051,-0.0670081
47,0.513799,-0.275165,-0.230467
48,0.594836,-0.367539,0.388153
49,0.086741,-0.34094,0.081617
50,-0.160774,-0.16526,-0.153429
51,0.0496017,-0.0101159,0.120108
52,-0.0742024,-0.00776885,-0.196108
53,-0.0428724,0.0355298,-0.234001
54,0.0120038,-0.398267,0.235783
55,0.697638,-0.505449,0.48195
56,0.748683,-0.589065,0.327242
57,0.874525,-0.352283,0.346659
58,-0.0333805,-0.124314,0.217189
59,0.538517,-0.303634,0.255635
60,0.0146434,-0.276117,0.35938
61,0.12042,-0.394012,0.204653
62,0.904151,-0.474476,0.178683
63,0.218835,-0.143459,-0.360698
64,0.576404,-0.363365,0.502935
65,0.15339,-0.0190478,-0.179416
66,-0.0761387,-0.175711,0.402041
67,0.250573,0.161879,-0.0909409
68,0.0966414,-0.113838,-0.290356
69,0.617091,-0.29562,0.416474
70,-0.0162952,-0.504696,0.137979
71,0.0153722,-0.14631,-0.248285
72,-0.105682,-0.126684,0.282719
73,-0.282103,-0.089807,0.463917
74,0.732451,-0.526876,0.22922
75,0.139262,-0.181433,0.532012
76,-0.0701907,-0.0946336,0.242018
77,0.313102,-0.503147,0.212416
78,0.21934,0.110711,-0.265791
79,-0.162512,-0.254558,-0.388836
80,0.29893,-0.18521,0.501987
81,0.346558,-0.0580425,0.547194
82,0.63816,-0.259899,0.150547
83,-0.136703,-0.269116,-0.513021
