Frame ID,X,Y,Z
0,-0.0241302,-0.0513303,-0.0522231
1,-0.0762556,-0.0630952,0.0474955
2,0.113754,-0.106592,0.0838674
3,0.192575,-0.153684,0.173689
4,-0.00322456,0.0861944,0.0953679
5,0.062967,-0.0088695,-0.0569375
6,-0.0177326,-0.0433374,-0.103176
7,-0.0187583,-0.158955,-0.227347
8,0.0324767,-0.0583532,0.00762923
9,-0.0773456,0.0876973,-0.00428569
10,-0.164331,0.0362163,-0.165121
11,0.0664763,-0.222085,-0.101819
12,-0.122196,0.157307,0.165276
13,-0.0797823,0.125868,-0.256172
14,0.0433432,-0.258331,-0.131136
15,-0.0037902,-0.245886,-0.0300659
16,0.242478,-0.104559,-0.205245
17,0.0199204,-0.254287,-0.052562
18,0.165338,-0.214557,0.114758
19,-0.0122675,0.00138596,0.242512
20,0.171062,-0.141743,-0.254067
21,0.097144,-0.197411,-0.23602
22,0.137608,-0.172456,0.047378
23,0.0656065,0.24602,0.437239
24,-0.0160586,0.0705054,0.0479098
25,0.100612,-0.0708071,-0.0408179
26,0.0900923,-0.148118,-0.0173998
27,-0.107823,-0.0363667,0.0658125
28,0.154654,-0.00751882,-0.0810522
29,0.340419,-0.0963825,-0.135869
30,0.292266,0.0492903,-0.033055
31,-0.0686435,0.0676502,-0.0161028
32,0.149001,-0.261213,-0.0130397
33,-0.103932,-0.298273,0.134787
34,-0.0050578,-0.310286,0.0263174
35,0.0536264,-0.0475429,0.012606
36,0.183513,-0.0720722,-0.450204
37,0.123178,-0.0118049,-0.146411
38,0.23473,-0.0286952,-0.255903
39,-0.0184993,-0.075287,0.0845766
40,0.0844683,-0.279964,-0.383236
41,0.125256,-0.245278,-0.154637
42,0.207387,-0.0280367,-0.502632
43,0.0122534,-0.00876054,0.204216
44,0.139039,0.0194165,-0.308285
45,0.205728,-0.0848385,-0.232575
46,-0.157792,0.0371412,-0.0947778
47,0.132379,-0.146242,-0.719374
48,-0.0402228,-0.112722,0.307755
49,0.136698,-0.198409,-0.5102
50,0.241926,-0.148135,-0.493872
51,-0.218575,0.00572211,0.429452
52,-0.204484,-0.0282352,-0.0415026
53,0.154194,-0.115398,-0.489941
54,0.165712,-0.0784853,-0.401205
55,0.164239,0.231421,0.0388849
56,0.0926826,-0.0856762,-0.83976
57,0.215789,0.294096,0.0137937
58,-0.0891926,0.0818914,0.734401
59,0.0329924,-0.134346,-0.140156
60,0.360569,0.331287,-0.0269182
61,0.28943,0.305987,0.0547674
62,-0.0238252,-0.0886582,-0.439822
63,-0.199047,-0.193588,0.425493
64,0.318358,-0.402906,0.21682
65,0.204947,-0.136059,-0.843489
66,0.168665,-0.0998209,-0.00563808
67,-0.0996223,-0.324221,-0.647349
68,-0.254826,-0.136589,-0.434567
69,0.240625,-0.364314,0.171418
70,-0.372083,-0.0398579,0.455699
71,-0.00541358,-0.207947,-0.42314
72,0.184184,-0.0574887,-0.0433106
73,0.010365,-0.293317,-0.30483
74,0.515881,-0.585394,0.0929926
75,-0.281591,-0.433195,0.515066
76,-0.058815,0.0420108,-0.962734
77,-0.316806,-0.3972,0.742314
78,-0.285418,-0.409174,0.442385
79,-0.430624,-0.170402,0.671397
80,-0.0803952,0.0642153,0.410212
81,-0.216535,-0.420288,-0.791105
82,-0.00631266,-0.00115088,-0.864012
83,-0.302238,0.160653,0.536916
84,-0.329088,0.214032,0.494519
85,-0.331267,0.0638368,0.604506
86,-0.0955872,-0.0531887,-0.857153
87,0.215732,-0.32285,-0.166204
88,-0.194928,0.2872,0.542265
89,-0.0217358,-0.188472,-0.892268
90,-0.391009,0.289504,0.336493
91,-0.32281,-0.264399,-1.05596
92,0.259736,-0.0301045,-1.04559
93,0.220967,0.146485,-0.494916
94,0.188791,-0.135017,-0.64217
95,0.0639213,-0.0164266,-0.94133
96,0.269892,-0.136781,-0.145565
97,0.33893,-0.027894,-0.646658
98,-0.512092,0.327046,0.484842
99,0.232444,0.059424,-0.68992
100,-0.432494,0.328164,0.392823
101,-0.0227117,0.117807,-0.972144
102,-0.245638,-0.302864,-0.818976
103,0.586857,-0.0626169,-0.582345
104,-0.328855,-0.185925,-0.801479
105,-0.507061,0.510125,0.178345
106,-0.397068,0.210021,0.415909
107,-0.482695,-0.0431425,0.387913
108,-0.429141,0.6501,0.227134
109,-0.322832,0.0590071,0.370468
110,-0.323475,0.553235,0.136524
111,-0.136463,0.27098,0.332185
112,-0.362793,0.590703,0.0498368
113,0.24065,0.0727096,-0.932373
114,-0.441604,-0.352028,-1.05726
115,-0.41989,-0.367497,-1.0021
116,-0.273519,0.239128,0.236148
117,-0.41634,0.772947,0.210317
118,-0.486393,-0.331502,-1.15166
119,-0.256353,0.476934,0.134842
120,-0.419622,0.345094,0.0823226
121,-0.34496,0.116934,0.495513
122,-0.442514,0.355897,0.0742202
123,-0.496421,0.182681,0.142485
124,-0.394366,0.217423,0.289372
125,-0.198494,0.67089,0.0331746
126,-0.214394,0.661568,0.130083
127,-0.154139,0.477309,0.273683
128,-0.172479,0.475118,0.232567
129,-0.449632,0.415726,0.10005
130,-0.107599,0.0440143,0.473499
131,-0.258928,0.323934,0.269373
132,-0.172111,0.404381,0.296915
133,-0.207119,0.670089,0.253097
134,-0.491439,0.540007,0.242533
135,-0.224786,0.39784,0.201353
